AAON,AAON Inc
KIDS,Orthopediatrics Corp
KIN,Kindred Biosciences Inc
KINS,Kingstone Companies Inc
KIRK,Kirklands Inc
KLAC,KLA Corp
KLDO,Kaleido Biosciences Inc
KLIC,Kulicke and Soffa Industries Inc
KMDA,Kamada Ltd
KNDI,Kandi Technologies Group Inc
KNSL,Kinsale Capital Group Inc
KOD,Kodiak Sciences Inc
KOSS,Koss Corporation
KRMA,Global X Conscious Companies ETF
KRNT,Kornit Digital Ltd
KRON,Kronos Bio Inc
KROS,Keros Therapeutics Inc
KTCC,Key Tronic Corporation
KTOS,Kratos Defense  Security Solutions Inc
KURA,Kura Oncology Inc
KVHI,KVH Industries Inc
LAKE,Lakeland Industries Inc
LAMR,Lamar Advertising Co
LANC,Lancaster Colony Corp
LANDP,Gladstone Land 6375% Cumulative Pref Shs Series A
LARK,Landmark Bancorp Inc
LASR,Nlight Inc
LATN,Union Acquisition Corp II
LAUR,Laureate Education Inc
LAWS,Lawson Products Inc
LAZY,Lazydays Holdings Inc
LBRDA,Liberty Broadband Corp Series A
LBRDK,Liberty Broadband Corp Series C
LCUT,Lifetime Brands Inc
LCYAU,#N/A
LDEM,iShares ESG MSCI EM Leaders ETF
LDSF,First Trust Low Duration Strategic Focus ETF
LE,Lands End Inc
LECO,Lincoln Electric Holdings Inc
LEDS,SemiLEDs Corporation
LEGH,Legacy Housing Corp
LEGR,First Trust Indxx Innovative Transactn  Proc ETF
LFUS,Littelfuse Inc
LGIH,LGI Homes Inc
LHCG,LHC Group Inc
LILA,Liberty Latin America Ltd Class A
LILAK,Liberty Latin America Ltd Class C
LINC,Lincoln Educational Services Corp
LIND,Lindblad Expeditions Holdings Inc
LIQT,LiqTech International Inc
LITE,Lumentum Holdings Inc
LIVE,Live Ventures Inc
LIVK,LIV Capital Acquisition Corp
LIVN,LivaNova PLC
LKFN,Lakeland Financial Corporation
LKQ,LKQ Corporation
LLNW,Limelight Networks Inc
LMAT,LeMaitre Vascular Inc
LMB,Limbach Holdings Inc
LMNR,Limoneira Company
LMRK,Landmark Infrastructure Partners LP Unit
LNGR,Global X Longevity Thematic ETF
LNT,Alliant Energy Corporation
LNTH,Lantheus Holdings Inc
LOB,Live Oak Bancshares Inc
LOCO,El Pollo LoCo Holdings Inc
LOGI,Logitech International SA
LORL,Loral Space  Communications Inc
LOVE,Lovesac Co
LPCN,Lipocine Inc
LPLA,LPL Financial Holdings Inc
LPRO,Open Lending Corp
LPSN,LivePerson Inc
LQDT,Liquidity Services Inc
LRCX,Lam Research Corporation
LRGE,ClearBridge Large Cap Growth ESG ETF
LRMR,Larimar Therapeutics Inc
LSBK,Lake Shore Bancorp Inc
LSCC,Lattice Semiconductor Corp
LSTR,Landstar System Inc
LSXMA,Liberty Sirius XM Group Series A
LSXMB,Liberty Sirius XM Group Series B
LSXMK,Liberty Sirius XM Group Series C
LTRN,Lantern Pharma Inc
LTRX,Lantronix Inc
LULU,Lululemon Athletica Inc
LUNA,Luna Innovations Incorporated
LVGO,Livongo Health Inc
LVHD,Legg Mason Low Volatility High Dividend ETF
LWAY,Lifeway Foods Inc
LXEH,Lixiang Education Holding Co Ltd - ADR
LYTS,LSI Industries Inc
MACK,Merrimack Pharmaceuticals Inc
MAGS,Magal Security Systems Ltd
MANH,Manhattan Associates Inc
MANT,Mantech International Corp
MAR,Marriott International Inc
MARA,Marathon Patent Group Inc
MASI,Masimo Corporation
MAT,Mattel Inc
MATW,Matthews International Corp
MBCN,Middlefield Banc Corp
MBII,Marrone Bio Innovations Inc
MBIN,Merchants Bancorp
MBINO,Merchants Bancorp Ind Repstg 1 40th Perp Pfd Ser B Fixed Fltg DRC
MBINP,Merchants Bancorp IND PERP PFD SER A Fixed FLTG Perpetual Pref Shs
MBIO,Mustang Bio Inc
MBNKP,Medallion Bank Fixed to Floating Rate Non Cumulat Fixed to Floating Non-Cumulative Perpetual Pref Shs Series F
MBOT,Microbot Medical Inc
MBUU,Malibu Boats Inc
MCBC,Macatawa Bank Corporation
MCBS,Metrocity Bankshares Inc
MCFT,Mastercraft Boat Holdings Inc
MCHI,iShares MSCI China ETF
MCHP,Microchip Technology Inc
MCRI,Monarch Casino  Resort Inc
MDB,Mongodb Inc
MDGL,Madrigal Pharmaceuticals Inc
MDJH,MDJM Ltd
MDLZ,MONDELEZ INTERNATIONAL INC Common Stock
MDRX,Allscripts Healthcare Solutions Inc
MDWD,Mediwound Ltd
MEDP,Medpace Holdings Inc
MELI,Mercadolibre Inc
MEOH,Methanex Corporation
MESO,Mesoblast limited
METC,Ramaco Resources Inc
MFH,Mercurity Fintech Holding Inc- ADR
MFIN,Medallion Financial Corp
MFINL,Medallion Financial 9 Notes Exp 15 April 2021
MFNC,Mackinac Financial Corporation
MGEE,MGE Energy Inc
MGI,Moneygram International Inc
MGIC,Magic Software Enterprises Ltd
MGLN,Magellan Health Inc
MGNI,Magnite Inc
MGPI,MGP Ingredients Inc
MGRC,McGrath RentCorp
MICT,MICT Inc
MIDD,Middleby Corp
MIK,Michaels Companies Inc
MILN,Global X Millennials Thematic ETF
MIME,Mimecast Ltd
MIND,Mind Technology Inc
MINDP,Mind Technology Inc Preferred Shares Series A
MIRM,Mirum Pharmaceuticals Inc
MIST,Milestone Pharmaceuticals Inc
MITK,Mitek Systems Inc
MKGI,Monaker Group Inc
MKSI,MKS Instruments Inc
MLAB,Mesa Laboratories Inc
MLCO,Melco Resorts  Entertainment Ltd
MLHR,Herman Miller Inc
MLVF,Malvern Bancorp Inc
MMAC,MMA Capital Holdings Inc
MMSI,Merit Medical Systems Inc
MMYT,MakeMyTrip Limited
MNDO,MIND CTI Ltd
MNKD,MannKind Corporation
MNST,Monster Beverage Corp
MOBL,Mobileiron Inc
MOFG,Midwestone Financial Group Inc (IOWA)
MOGO,Mogo Inc (British Columbia)
MOR,Morphosys Ag
MORF,Morphic Holding Inc
MORN,Morningstar Inc
MOXC,Moxian Inc
MPWR,Monolithic Power Systems Inc
MRAM,Everspin Technologies Inc
MRBK,Meridian Corp
MRCCL,Monroe Capital 575% Notes Due 31 OCT 2023
MRCY,Mercury Systems Inc
MRNA,Moderna Inc
MRNS,Marinus Pharmaceuticals Inc
MRSN,Mersana Therapeutics Inc
MRTX,Mirati Therapeutics Inc
MRVL,Marvell Technology Group Ltd
MSEX,Middlesex Water Company
MSFT,Microsoft Corporation
MSON,Misonix Inc
MSTR,MicroStrategy Incorporated
MSVB,Mid-Southern Bancorp Inc
MTBC,MTBC Inc
MTBCP,MTBC Inc Preferred Shares Series A
MTCH,Match Group Inc
MTCR,Metacrine Inc
MTEX,Mannatech Inc
MTLS,Materialise NV
MTSC,MTS Systems Corporation
MU,Micron Technology Inc
MVBF,MVB Financial Corp
MVIS,Microvision Inc
MWK,Mohawk Group Holdings Inc
MXIM,Maxim Integrated Products Inc
MYRG,MYR Group Inc
NAII,Natural Alternatives International Inc
NARI,Inari Medical Inc
NATR,Natures Sunshine Products Common Stock
NAVI,Navient Corp
NBEV,Newage Inc
NBLX,Noble Midstream Partners LP
NBN,Northeast Bank
NCBS,Nicolet Bankshares Inc
NDAQ,Nasdaq Inc
NDLS,Noodles  Co
NDSN,Nordson Corporation
NEO,NeoGenomics Inc
NEOG,Neogen Corporation
NEON,Neonode Inc
NESR,National Energy Services Reunited Corp
NFE,New Fortress Energy Inc
NFLX,Netflix Inc
NFTY,First Trust India Nifty 50 Equal Weight ETF
NICE,Nice Ltd
NIU,Niu Technologies - ADR
NK,Nantkwest Inc
NLOK,NortonLifeLock Inc
NLTX,Neoleukin Therapeutics Inc
NMCI,Navios Maritime Containers LP
NMFC,New Mountain Finance Corp
NMIH,NMI Holdings Inc
NMTR,9 Meters Biopharma Inc
NNBR,NN Inc
NODK,NI Holdings Inc
NOVT,Novanta Inc
NPA,New Providence Acquisition Corp Class A
NRC,National Research Corporation
NRIM,Northrim BanCorp Inc
NSIT,Insight Enterprises Inc
NSSC,Napco Security Technologies Inc
NSTG,NanoString Technologies Inc
NSYS,Nortech Systems Incorporated
NTAP,NetApp Inc
NTES,NetEase Inc
NTGR,NetGear Inc
NTIC,Northern Technologies International Corporation Common Stock
NTLA,Intellia Therapeutics Inc
NTNX,Nutanix Inc
NTRA,Natera Inc
NTRS,Northern Trust Corporation
NTRSO,Northern Trust DS Representing 1/1000th Non Cumulative Perpetual Pref Shs Series E
NTWK,NetSol Technologies Inc
NUAN,Nuance Communications Inc
NVAX,Novavax Inc
NVCR,Novocure Ltd
NVDA,NVIDIA Corporation
NVEE,NV5 Global Inc
NVFY,Nova Lifestyle Inc
NVIV,Invivo Therapeutics Holdings Corp
NVMI,Nova Measuring Instruments Ltd
NWBI,Northwest Bancshares Inc
NWL,Newell Brands Inc
NWLI,National Western Life Group Inc
NWPX,Northwest Pipe Company
NWS,News Corp Class B
NWSA,News Corp Class A
NXGN,Nextgen Healthcare Inc
NXPI,NXP Semiconductors NV
NXST,Nexstar Media Group Inc
NXTG,First Trust Indxx NextG ETF
OBCI,Ocean Bio-Chem Inc
OBNK,Origin Bancorp Inc
OCFCP,Oceanfirst Finl Depositary Shs Repstg 1/40 Perp Prf Shs
OCSI,Oaktree Strategic Income Corporation
OCSL,Oaktree Specialty Lending Corp
OCUL,Ocular Therapeutix Inc
ODFL,Old Dominion Freight Line Inc
ODP,ODP Corp
OESX,Orion Energy Systems Inc
OFLX,Omega Flex Inc
OFSSG,OFS Capital 6 25 Notes Due 2023
OIIM,O2Micro International Limited
OKTA,Okta Inc
OLD,Janus Long-Term Care ETF
OLED,Universal Display Corporation
OLLI,Ollies Bargain Outlet Holdings Inc
OMAB,Grupo Arprtr dl Cntr Nrte SABdeCV
OMCL,Omnicell Inc
OMEX,Odyssey Marine Exploration Inc
ON,ON Semiconductor Corp
ONCS,OncoSec Medical Inc
ONCY,Oncolytics Biotech Inc
ONEM,1life Healthcare Inc
ONEQ,Fidelity NASDAQ Composite Index ETF
ONEW,OneWater Marine Inc
OPINI,Office Properties Income 5875 Senior Notes Exp 2046
OPINL,Office Properties Income 6375 Senior Notes due 2050
OPK,Opko Health Inc
OPRA,Opera Ltd
OPRT,Oportun Financial Corp
OPRX,OptimizeRx Corporation
OPTT,Ocean Power Technologies Inc
ORBC,ORBCOMM Inc
ORGO,Organogenesis Holdings Inc
ORLY,OReilly Automotive Inc
OSBC,Old Second Bancorp Inc
OSIS,OSI Systems Inc
OSN,Ossen Innovation Co Ltd
OSS,One Stop Systems Inc
OSTK,Overstockcom Inc
OSUR,OraSure Technologies Inc
OSW,OneSpaWorld Holdings Ltd
OTEX,Open Text Corp
OVID,Ovid Therapeutics Inc
OXFD,Oxford Immunotec Global PLC
OXLC,Oxford Lane Capital Corp
PAAS,Pan American Silver Corp
PACB,Pacific Biosciences of California Inc
PANL,Pangaea Logistics Solutions Ltd
PATK,Patrick Industries Inc
PAYX,Paychex Inc
PBCT,Peoples United Financial Inc
PBCTP,Peoples United Financial Inc Preferred Shares Series A
PBHC,Pathfinder Bancorp Inc (MARYLAND)
PBPB,Potbelly Corp
PBYI,Puma Biotechnology Inc
PCAR,PACCAR Inc
PCB,PCB Bancorp
PCH,Potlatchdeltic Corp
